code,ufssp,region
1,"УФССП России по Республике Адыгея","Республика Адыгея"
2,"УФССП России по Республике Башкортостан","Республика Башкортостан"
3,"УФССП России по Республике Бурятия","Республика Бурятия"
4,"УФССП России по Республике Алтай","Республика Алтай"
5,"УФССП России по Республике Дагестан","Республика Дагестан"
6,"УФССП России по Республике Ингушетия","Республика Ингушетия"
7,"УФССП России по Кабардино-Балкарской Республике","Кабардино-Балкарской Республика"
8,"УФССП России по Республике Калмыкия","Республика Калмыкия"
9,"УФССП России по Карачаево-Черкесской Республике","Карачаево-Черкесской Республика"
10,"УФССП России по Республике Карелия","Республика Карелия"
11,"УФССП России по Республике Коми","Республика Коми"
12,"УФССП России по Республике Марий Эл","Республика Марий Эл"
13,"УФССП России по Республике Мордовия","Республика Мордовия"
14,"УФССП России по Республике Саха (Якутия)","Республика Саха (Якутия)"
15,"УФССП России по Республике Северная Осетия-Алания","Республика Северная Осетия-Алания"
16,"УФССП России по Республике Татарстан","Республика Татарстан"
17,"УФССП России по Республике Тыва","Республика Тыва"
18,"УФССП России по Удмуртской Республике","Удмуртская Республика"
19,"УФССП России по Республике Хакасия","Республика Хакасия"
20,"УФССП России по Чеченской Республике","Чеченская Республика"
21,"УФССП России по Чувашской Республике - Чувашии","Чувашская Республика - Чувашия"
22,"УФССП России по Алтайскому краю","Алтайский край"
23,"ГУФССП России по Краснодарскому краю","Краснодарский край"
24,"ГУФССП России по Красноярскому краю","Красноярский край"
25,"УФССП России по Приморскому краю","Приморский край"
26,"УФССП России по Ставропольскому краю","Ставропольский край"
27,"УФССП России по Хабаровскому краю и Еврейской автономной области","Хабаровский край и Еврейская автономная область"
28,"УФССП России по Амурской области","Амурская область"
29,"УФССП России по Архангельской области и Ненецкому автономному округу","Архангельская область и Ненецкий автономный округ"
30,"УФССП России по Астраханской области","Астраханская область"
31,"УФССП России по Белгородской области","Белгородская область"
32,"УФССП России по Брянской области","Брянская область"
33,"УФССП России по Владимирской области","Владимирская область"
34,"УФССП России по Волгоградской области","Волгоградская область"
35,"УФССП России по Вологодской области","Вологодская область"
36,"УФССП России по Воронежской области","Воронежская область"
37,"УФССП России по Ивановской области","Ивановская область"
38,"УФССП России по Иркутской области","Иркутская область"
39,"УФССП России по Калининградской области","Калининградская область"
40,"УФССП России по Калужской области","Калужская область"
41,"УФССП России по Камчатскому краю и Чукотскому АО","Камчатский край и Чукотский АО"
42,"УФССП России по Кемеровской области – Кузбассу","Кемеровская область - Кузбасс"
43,"УФССП России по Кировской области","Кировская область"
44,"УФССП России по Костромской области","Костромская область"
45,"УФССП России по Курганской области","Курганская область"
46,"УФССП России по Курской области","Курская область"
47,"УФССП России по Ленинградской области","Ленинградская область"
48,"УФССП России по Липецкой области","Липецкая область"
49,"УФССП России по Магаданской области","Магаданская область"
50,"ГУФССП России по Московской области","Московская область"
51,"УФССП России по Мурманской области","Мурманская область"
52,"УФССП России по Нижегородской области","Нижегородская область"
53,"УФССП России по Новгородской области","Новгородская область"
54,"УФССП России по Новосибирской области","Новосибирская область"
55,"УФССП России по Омской области","Омская область"
56,"УФССП России по Оренбургской области","Оренбургская область"
57,"УФССП России по Орловской области","Орловская область"
58,"УФССП России по Пензенской области","Пензенская область"
59,"УФССП России по Пермскому краю","Пермский край"
60,"УФССП России по Псковской области","Псковская область"
61,"УФССП России по Ростовской области","Ростовская область"
62,"УФССП России по Рязанской области","Рязанская область"
63,"УФССП России по Самарской области","Самарская область"
64,"УФССП России по Саратовской области","Саратовская область"
65,"УФССП России по Сахалинской области","Сахалинская область"
66,"ГУФССП России по Свердловской области","Свердловская область"
67,"УФССП России по Смоленской области","Смоленская область"
68,"УФССП России по Тамбовской области","Тамбовская область"
69,"УФССП России по Тверской области","Тверская область"
70,"УФССП России по Томской области","Томская область"
71,"УФССП России по Тульской области","Тульская область"
72,"УФССП России по Тюменской области","Тюменская область"
73,"УФССП России по Ульяновской области","Ульяновская область"
74,"УФССП России по Челябинской области","Челябинская область"
75,"УФССП России по Забайкальскому краю","Забайкальский край"
76,"УФССП России по Ярославской области","Ярославская область"
77,"ГУФССП России по г. Москве","г. Москва"
78,"ГУФССП России по г. Санкт-Петербургу","г. Санкт-Петербург"
82,"УФССП России по Республике Крым","Республика Крым"
86,"УФССП России по Ханты-Мансийскому АО - Югре","Ханты-Мансийский АО - Югра"
89,"УФССП России по Ямало-Ненецкому автономному округу","Ямало-Ненецкий автономный округ"
92,"УФССП России по Севастополю","г. Севастополь"